distance_km,hour_of_day,day_of_week,traffic_index,is_rain,eta_minutes
3.59,18,3,0.847,0,13.49
1.82,4,5,0.381,0,5.81
1.2,1,5,0.469,1,4.89
0.5,6,5,0.135,0,1.0
1.81,2,0,0.223,0,1.57
5.29,16,5,0.157,0,12.04
13.93,23,5,0.137,0,30.94
10.25,23,3,0.22,0,22.24
7.26,2,1,0.139,0,16.27
7.77,12,6,0.354,1,19.58
5.47,6,6,0.321,0,10.49
1.51,23,1,0.324,0,4.01
11.89,2,2,0.167,0,24.97
5.55,14,2,0.176,0,13.28
4.11,17,4,0.946,1,18.25
0.59,9,3,0.821,0,2.85
2.96,22,2,0.268,1,8.82
3.08,6,2,0.348,1,7.17
10.0,8,3,0.894,0,42.93
3.96,4,1,0.253,1,11.2
2.39,19,4,0.819,1,10.26
18.82,7,4,0.872,0,78.85
0.59,13,4,0.195,0,3.53
2.75,3,2,0.395,0,6.88
0.5,19,1,0.919,0,1.89
6.73,13,4,0.258,0,14.59
12.51,11,3,0.318,0,31.75
1.64,1,4,0.109,0,1.96
9.77,12,6,0.585,1,32.13
1.73,0,0,0.305,0,3.38
12.08,19,1,0.949,0,56.8
7.01,6,0,0.26,0,16.68
8.17,8,1,0.934,0,37.97
0.5,16,5,0.387,0,1.91
16.46,20,3,0.316,0,40.75
6.49,22,5,0.466,0,17.45
1.82,12,2,0.436,1,5.31
8.84,22,2,0.431,0,25.73
1.65,9,5,0.753,0,5.58
10.31,15,1,0.123,0,20.57
0.6,5,4,0.479,0,2.65
6.08,15,0,0.353,1,15.82
3.89,10,3,0.433,0,12.54
0.51,19,4,0.889,0,3.0
1.38,2,2,0.162,0,4.94
0.5,8,4,0.752,0,4.42
3.16,14,5,0.411,0,7.98
1.79,12,5,0.437,0,4.7
4.56,9,6,0.85,0,20.29
1.76,19,6,0.918,0,7.97
1.78,23,0,0.26,0,3.62
6.8,12,2,0.4,0,17.49
0.5,16,1,0.478,1,1.0
11.66,6,3,0.636,1,34.69
9.56,5,5,0.25,0,23.48
5.51,12,3,0.117,0,10.76
4.5,16,2,0.336,0,9.08
11.14,14,1,0.241,0,27.38
1.02,3,6,0.237,0,1.0
0.5,14,5,0.326,0,2.94
1.37,13,0,0.469,0,4.81
7.91,20,3,0.207,0,18.74
0.5,10,2,0.402,1,1.0
4.37,23,3,0.606,1,11.0
26.95,3,6,0.458,0,73.25
9.68,2,6,0.194,0,18.1
3.68,1,1,0.383,0,6.06
0.5,19,0,0.711,0,3.03
8.9,9,6,0.892,1,41.34
4.57,12,1,0.543,1,13.73
0.61,19,6,0.996,0,3.08
0.5,20,5,0.427,0,1.0
12.02,22,4,0.499,0,35.66
5.53,17,1,0.712,0,17.0
8.84,20,1,0.399,1,23.54
10.56,15,3,0.343,0,29.35
4.24,10,6,0.373,0,11.17
3.64,9,1,0.937,0,16.21
2.81,8,2,0.667,0,11.68
1.91,11,5,0.233,0,7.29
2.85,18,3,0.724,0,12.34
7.43,0,3,0.483,0,20.81
4.61,17,4,0.849,0,20.04
11.15,13,5,0.373,0,31.02
2.93,21,2,0.244,0,6.12
4.67,20,5,0.499,1,12.01
4.99,0,1,0.14,0,11.53
4.48,16,4,0.314,0,9.51
6.06,10,2,0.412,0,14.33
1.36,19,4,0.66,0,3.65
3.59,14,5,0.301,0,7.49
0.55,3,0,0.129,0,1.0
2.43,14,5,0.585,1,7.72
3.34,21,1,0.24,0,8.24
5.28,21,4,0.333,0,11.13
15.03,13,0,0.251,0,35.99
4.59,21,1,0.489,1,13.27
6.8,0,4,0.548,1,18.75
3.53,8,4,0.637,0,11.46
5.03,6,5,0.308,0,12.74
0.5,22,6,0.568,1,2.07
1.47,10,4,0.375,0,5.12
2.25,22,4,0.123,0,6.08
3.2,1,3,0.328,0,8.03
0.5,1,6,0.251,0,1.0
0.75,5,4,0.384,0,1.25
1.62,22,5,0.107,0,3.78
17.79,18,3,0.851,0,74.63
2.01,19,3,0.991,0,6.48
3.29,13,0,0.468,0,9.3
1.09,2,1,0.451,0,2.77
4.72,6,3,0.487,0,13.75
1.65,6,2,0.357,0,2.13
1.16,3,3,0.423,0,4.48
3.63,22,2,0.345,0,9.13
0.5,4,6,0.297,0,1.0
0.5,16,0,0.434,0,1.95
1.24,3,2,0.41,0,3.77
0.5,22,0,0.393,0,1.35
0.57,12,0,0.458,0,1.0
2.07,15,0,0.621,1,6.27
8.11,15,2,0.278,0,19.51
4.24,1,2,0.363,1,13.58
3.59,17,0,0.957,0,17.06
1.74,0,6,0.287,1,5.2
13.42,17,0,0.767,0,51.05
2.53,7,6,0.818,0,9.98
0.5,10,1,0.361,0,3.33
4.8,23,6,0.548,1,11.79
0.6,23,6,0.229,0,1.87
2.12,14,6,0.597,1,8.26
3.54,15,0,0.46,0,10.55
10.37,16,4,0.131,0,19.82
3.4,16,1,0.303,1,8.75
6.06,11,1,0.354,1,15.33
24.68,9,1,0.918,0,109.98
0.7,19,4,0.61,0,1.75
1.61,5,1,0.188,0,4.89
2.51,7,1,0.699,0,8.43
2.74,12,2,0.345,0,8.83
2.65,1,5,0.491,0,7.73
11.91,18,2,0.977,0,56.7
6.26,21,0,0.473,1,20.38
4.68,9,0,0.936,0,20.16
1.85,3,6,0.307,0,4.03
8.68,11,3,0.182,0,19.98
15.51,17,5,1.0,1,75.34
8.61,6,4,0.2,0,19.87
0.5,19,2,0.985,0,1.55
5.06,23,0,0.275,1,15.51
0.5,23,4,0.331,0,1.0
1.49,22,1,0.118,0,1.7
0.5,3,4,0.514,1,1.97
4.63,6,2,0.392,0,12.27
5.8,9,5,0.969,1,28.95
0.61,14,3,0.563,1,1.0
2.42,11,6,0.487,0,9.14
3.05,0,2,0.236,0,7.65
2.3,19,6,0.79,0,7.66
0.64,17,5,0.871,1,2.88
2.71,15,0,0.277,0,7.47
6.96,4,6,0.108,0,15.62
0.5,18,0,0.945,0,1.0
0.5,3,4,0.569,1,1.0
2.19,5,2,0.156,0,2.79
14.21,16,0,0.38,0,37.14
5.52,6,1,0.384,0,14.91
5.68,23,1,0.648,1,14.59
2.25,22,3,0.378,0,6.24
4.5,6,4,0.151,0,8.79
0.5,8,0,0.751,0,1.0
5.05,12,3,0.31,0,11.48
12.23,19,1,0.957,0,57.47
4.74,13,3,0.376,0,12.11
10.35,15,3,0.307,0,22.01
6.44,22,0,0.35,0,18.47
0.64,8,0,0.923,1,3.85
11.64,14,0,0.303,0,28.68
0.5,4,4,0.389,0,1.0
3.82,17,6,0.834,1,14.05
0.77,20,3,0.496,1,2.08
0.5,19,3,0.82,0,3.13
2.74,7,4,1.0,1,15.33
1.75,14,1,0.477,0,8.65
3.33,20,2,0.562,1,10.27
4.3,8,6,0.904,0,17.82
0.5,18,1,0.937,0,3.41
0.66,21,4,0.187,0,1.0
4.09,5,6,0.342,1,10.82
2.1,3,6,0.292,0,8.32
6.53,10,3,0.253,1,14.94
5.28,9,3,0.77,0,18.68
9.34,2,0,0.113,0,17.96
5.9,0,0,0.338,0,15.02
2.81,11,3,0.242,0,4.33
5.59,22,3,0.141,0,10.56
1.61,14,5,0.11,0,1.43
1.83,14,6,0.355,1,6.22
7.78,20,0,0.143,0,16.77
2.96,13,0,0.626,1,11.52
8.01,6,1,0.198,0,18.5
8.64,16,3,0.138,0,18.16
9.74,23,6,0.408,0,26.73
12.42,18,3,1.0,1,63.08
2.82,6,4,0.437,0,9.44
1.92,2,1,0.585,1,4.59
4.36,2,2,0.497,0,12.46
2.32,17,2,0.953,1,9.1
4.59,19,2,0.939,1,21.41
6.11,21,6,0.335,0,11.25
5.83,13,5,0.311,0,12.84
2.35,2,0,0.303,0,4.6
0.91,6,6,0.369,1,2.31
2.82,6,2,0.184,0,7.87
0.77,4,4,0.387,0,1.0
11.04,2,6,0.141,0,25.39
2.12,17,6,0.837,0,9.03
0.84,14,0,0.252,0,2.6
0.5,19,0,0.695,0,1.3
5.19,13,2,0.447,0,15.27
5.07,3,0,0.466,1,13.79
2.08,23,1,0.586,1,5.09
0.5,7,1,0.777,0,1.57
2.64,20,2,0.432,1,7.28
1.86,12,6,0.153,0,2.55
5.65,21,4,0.333,0,10.48
4.65,7,0,0.833,0,19.6
2.27,14,3,0.253,1,4.21
1.23,16,6,0.517,1,1.0
22.13,4,2,0.417,0,59.2
3.03,19,5,0.818,0,11.64
5.83,3,0,0.108,0,10.43
0.76,10,2,0.17,0,1.0
3.32,17,2,0.734,0,13.33
0.5,9,4,0.892,0,1.0
3.52,16,3,0.392,0,8.39
16.62,14,0,0.27,0,40.32
2.42,5,2,0.39,0,4.03
0.5,22,2,0.244,0,3.91
0.5,20,6,0.147,0,2.39
2.46,15,0,0.537,1,9.81
0.87,14,2,0.35,0,2.17
0.5,7,2,0.887,0,4.42
7.06,8,2,0.733,0,25.39
3.07,10,1,0.224,0,6.66
1.71,1,1,0.362,0,2.67
11.52,12,3,0.113,0,25.1
0.62,3,4,0.277,0,1.0
15.61,8,6,0.909,0,67.62
1.88,4,6,0.455,0,5.39
10.96,18,0,1.0,1,57.43
4.62,21,4,0.452,0,14.64
8.76,2,4,0.217,0,21.38
20.68,20,6,0.441,0,56.17
1.7,2,1,0.392,0,4.57
16.24,5,3,0.391,1,44.62
2.47,9,4,0.736,0,9.59
2.43,4,6,0.294,0,1.91
2.08,2,4,0.227,0,8.49
3.9,21,2,0.362,1,9.91
0.84,23,0,0.476,0,2.42
4.03,6,3,0.403,0,10.94
3.9,21,6,0.24,0,9.21
7.18,17,0,0.86,1,29.34
8.97,22,1,0.185,0,17.92
2.9,7,4,0.851,0,9.97
1.8,0,4,0.144,0,6.51
1.5,3,5,0.294,0,2.56
1.08,23,0,0.266,1,4.23
0.5,6,1,0.105,0,1.49
2.1,13,6,0.347,0,1.82
1.58,12,5,0.285,1,1.91
16.97,9,5,0.768,0,61.75
4.08,22,2,0.143,0,10.0
2.13,17,5,0.901,0,8.91
4.34,0,5,0.37,0,12.26
0.75,3,2,0.192,0,1.26
2.94,15,4,0.455,0,9.01
4.92,15,4,0.293,0,10.34
3.36,17,3,0.723,0,11.11
2.57,7,5,0.846,1,10.9
25.46,9,0,0.926,1,114.12
10.61,15,4,0.384,0,27.62
4.88,22,1,0.366,1,12.58
4.21,23,6,0.256,0,11.13
4.85,10,0,0.526,1,14.23
1.12,5,3,0.174,0,2.34
2.51,0,5,0.298,0,6.62
0.5,11,2,0.395,0,2.11
3.23,5,3,0.363,0,8.43
3.92,12,0,0.388,0,8.56
1.29,16,2,0.457,0,4.8
16.63,0,1,0.637,1,54.8
12.01,7,2,0.995,0,59.09
6.4,21,2,0.124,0,14.62
3.81,7,1,0.859,1,18.58
10.2,23,4,0.147,0,21.98
0.7,10,4,0.338,1,1.7
7.82,13,2,0.361,0,20.35
0.67,23,6,0.398,0,6.13
7.9,9,2,0.773,0,29.77
1.61,14,3,0.425,1,3.37
10.48,6,6,0.467,0,27.18
14.42,6,4,0.433,0,38.43
0.81,9,1,0.871,0,3.31
3.11,3,5,0.426,1,9.26
19.81,17,5,0.708,0,68.91
3.3,9,2,0.642,0,10.83
9.96,18,2,0.944,0,46.2
4.44,13,5,0.446,0,12.37
2.35,12,3,0.431,0,8.18
1.68,14,3,0.319,0,2.75
1.14,15,3,0.435,0,5.89
7.17,1,0,0.416,0,21.17
2.44,3,1,0.433,0,8.13
3.58,20,0,0.493,0,8.9
3.39,17,2,0.735,0,11.92
4.31,16,3,0.208,0,8.74
10.03,9,3,0.909,0,42.88
19.75,20,5,0.4,1,51.56
2.62,8,5,0.845,0,10.42
8.79,14,6,0.419,0,22.92
7.23,11,3,0.227,0,16.78
4.26,20,4,0.11,0,10.37
15.62,8,5,0.828,0,63.27
1.12,13,1,0.461,0,3.66
0.58,12,0,0.471,0,1.49
9.62,5,1,0.57,1,28.64
2.89,18,5,0.95,1,13.89
9.39,3,3,0.428,0,26.74
11.18,19,2,0.9,0,50.57
0.5,16,4,0.24,0,1.0
10.75,18,5,0.601,0,33.5
2.97,2,1,0.188,0,5.37
3.57,13,2,0.419,0,7.35
4.93,16,5,0.308,0,13.81
13.04,12,3,0.585,1,42.06
0.5,8,6,0.782,0,1.59
3.24,0,3,0.336,0,7.43
5.82,16,3,0.254,0,13.16
6.41,15,3,0.416,0,14.45
5.9,17,5,0.954,0,29.21
0.72,1,6,0.236,0,1.0
1.78,13,4,0.497,0,4.73
2.22,21,4,0.285,0,5.81
8.16,22,1,0.227,0,15.82
1.63,16,5,0.375,0,4.24
1.18,2,6,0.189,0,2.87
15.79,1,6,0.432,0,41.79
0.5,7,3,0.934,0,5.47
30.64,1,4,0.448,0,82.01
5.65,1,5,0.232,0,13.83
8.81,8,2,0.924,0,38.0
1.75,19,4,0.685,0,6.33
0.5,20,4,0.124,0,1.0
6.69,5,6,0.328,1,18.07
8.98,11,1,0.187,0,20.76
6.74,8,4,0.785,1,23.06
0.77,6,2,0.181,0,1.94
7.0,11,3,0.475,1,18.8
7.33,4,0,0.511,1,20.89
5.37,15,1,0.41,0,11.74
7.26,4,2,0.414,0,21.42
9.35,11,1,0.387,0,22.92
4.75,23,5,0.185,0,10.34
0.5,19,3,0.768,1,1.0
3.34,8,4,0.648,0,10.56
0.5,22,5,0.56,1,1.34
2.62,6,4,0.399,0,6.76
2.61,18,6,0.98,0,14.79
0.5,19,2,0.795,1,1.76
2.14,22,3,0.123,0,7.02
0.59,10,0,0.407,0,1.0
8.26,20,0,0.412,0,23.73
14.75,11,4,0.389,1,39.96
0.5,2,5,0.423,0,2.98
15.52,16,6,0.593,1,51.4
3.7,6,3,0.176,0,4.46
1.78,21,3,0.24,0,1.05
0.5,9,2,0.932,0,2.35
3.47,22,5,0.25,0,5.03
7.91,14,0,0.279,0,16.0
6.14,1,2,0.304,0,14.67
0.5,12,1,0.114,0,1.0
0.5,3,3,0.122,0,1.0
2.58,17,0,0.672,0,7.7
1.75,23,2,0.277,0,5.32
1.32,22,4,0.136,0,3.6
1.65,0,1,0.254,0,5.0
8.14,1,2,0.29,0,18.99
13.24,1,4,0.504,1,39.77
2.6,3,0,0.147,0,8.43
11.83,2,0,0.648,1,38.99
1.94,16,1,0.29,0,4.0
3.24,13,4,0.372,0,8.28
1.28,1,3,0.463,0,1.68
5.11,15,6,0.113,0,10.45
19.31,10,6,0.341,0,49.46
4.63,12,0,0.316,0,11.95
2.21,0,5,0.273,1,6.04
5.22,22,3,0.377,0,11.06
0.66,1,3,0.188,0,2.52
10.98,1,6,0.381,0,27.63
3.5,20,2,0.245,0,7.86
2.98,4,2,0.408,0,6.81
4.41,3,0,0.477,0,14.61
4.9,11,3,0.444,0,11.38
0.5,2,2,0.293,0,1.06
5.74,19,4,0.736,0,18.57
1.38,9,4,0.883,0,7.34
6.26,19,4,0.88,0,26.72
8.64,17,4,0.786,0,31.06
8.15,20,3,0.293,0,19.88
4.02,20,4,0.151,0,7.6
3.67,20,3,0.452,1,11.33
0.77,9,6,0.739,0,5.82
7.47,0,0,0.246,0,15.53
1.58,5,0,0.447,1,6.43
3.43,10,4,0.479,0,11.47
1.67,1,4,0.35,0,3.74
0.72,6,4,0.249,0,2.76
4.97,19,0,1.0,1,25.19
0.5,20,2,0.399,0,1.25
6.9,20,0,0.287,0,15.95
1.91,20,4,0.127,0,5.19
0.5,17,2,0.678,0,1.0
3.58,20,2,0.24,0,9.86
0.5,18,1,0.935,0,1.0
1.62,3,6,0.586,1,8.12
6.14,12,3,0.305,1,13.32
0.5,17,6,0.977,0,6.66
9.14,19,4,0.61,0,28.3
0.5,23,3,0.101,0,2.23
1.42,12,1,0.438,0,5.33
6.75,18,3,0.657,0,22.56
1.9,16,4,0.365,0,6.55
0.54,0,1,0.46,0,1.0
2.23,5,3,0.209,0,3.26
1.58,18,0,1.0,1,7.96
9.25,19,2,0.854,0,39.1
1.88,0,6,0.487,1,4.44
7.78,7,1,0.809,0,30.66
11.12,16,0,0.424,0,27.87
2.84,20,4,0.293,0,7.27
12.04,21,2,0.181,0,26.37
2.37,14,6,0.574,1,7.5
16.63,17,1,0.726,0,59.09
0.5,6,2,0.482,0,1.0
5.81,15,5,0.314,0,14.53
3.4,6,5,0.147,0,6.68
2.45,16,1,0.59,1,8.98
5.01,3,1,0.451,0,15.14
6.08,11,3,0.428,1,16.68
0.5,12,2,0.11,0,1.21
0.91,3,5,0.112,0,3.08
6.24,20,6,0.24,0,16.01
5.49,0,5,0.536,1,18.52
16.91,0,2,0.382,1,43.53
7.16,6,5,0.253,1,14.99
15.06,8,6,0.654,0,51.02
6.06,0,0,0.487,0,19.51
1.77,15,5,0.239,0,4.24
0.56,17,5,0.871,0,2.26
7.61,21,4,0.217,0,19.9
5.17,14,0,0.42,0,12.19
0.5,5,3,0.317,0,1.0
2.23,1,1,0.254,0,4.31
15.71,8,6,0.818,1,61.71
3.47,3,5,0.296,1,9.99
2.83,12,6,0.236,0,4.74
3.06,22,3,0.288,0,8.95
1.17,21,3,0.369,0,1.76
2.3,10,0,0.205,0,5.91
2.31,12,6,0.459,0,2.95
0.5,10,1,0.294,0,1.0
7.3,18,4,0.877,0,30.56
2.69,7,3,0.747,0,11.66
8.63,6,4,0.317,1,22.91
9.5,15,1,0.143,0,18.39
1.19,2,1,0.239,0,4.44
5.36,16,0,0.116,0,12.3
3.2,17,6,0.711,0,11.8
10.61,14,2,0.369,0,30.67
1.22,16,6,0.425,0,2.32
5.66,10,5,0.482,1,17.39
4.68,4,0,0.377,0,12.15
1.75,15,6,0.433,0,7.17
0.73,14,4,0.409,0,2.47
5.27,9,6,0.672,0,16.9
6.71,13,0,0.329,0,15.74
1.9,1,1,0.206,0,4.68
5.18,15,3,0.331,0,11.72
2.51,18,5,0.678,0,4.11
6.24,7,5,0.965,1,31.63
1.11,14,2,0.173,0,4.18
11.05,9,1,0.793,0,42.17
1.69,4,5,0.392,0,5.5
2.29,19,5,0.864,0,10.68
0.5,15,3,0.128,0,1.16
0.59,20,4,0.47,0,1.0
3.63,21,4,0.102,0,8.25
1.56,11,4,0.454,0,3.89
9.02,22,0,0.406,0,26.88
0.5,12,4,0.139,0,2.08
2.38,8,4,0.797,0,10.13
2.06,16,0,0.24,0,7.04
0.5,19,3,0.756,0,2.0
0.66,11,1,0.492,0,4.87
2.67,4,5,0.285,1,4.9
3.39,23,2,0.259,0,7.87
2.59,11,5,0.31,1,8.37
3.79,0,4,0.211,0,6.83
4.52,19,4,0.941,0,20.23
0.5,15,6,0.494,0,2.15
3.12,11,5,0.289,0,8.34
16.55,8,5,0.751,0,59.28
3.66,12,6,0.319,0,11.24
5.66,16,4,0.228,0,11.62
1.87,16,0,0.472,0,5.54
7.44,3,0,0.427,0,19.01
7.41,13,0,0.224,0,14.35
3.68,18,2,1.0,1,17.37
18.65,6,1,0.499,0,52.78
0.67,2,4,0.373,0,1.0
0.5,0,3,0.42,1,3.2
7.35,11,5,0.215,0,17.14
8.23,14,5,0.102,0,17.97
0.64,10,4,0.162,0,1.29
1.54,9,4,0.785,0,5.67
0.5,1,4,0.489,1,2.27
1.74,3,5,0.365,0,3.7
7.42,16,6,0.407,0,16.23
3.65,16,4,0.175,0,5.37
2.14,7,5,0.684,0,7.73
2.32,22,1,0.36,0,5.5
0.5,13,3,0.3,0,5.2
1.78,23,0,0.45,0,6.24
5.2,3,6,0.313,0,13.4
18.29,5,3,0.278,0,41.46
9.39,18,4,1.0,1,45.96
0.5,23,3,0.413,0,2.81
11.44,3,4,0.107,0,24.77
7.64,2,3,0.467,0,19.83
7.58,19,2,0.885,1,30.54
3.06,5,3,0.454,0,9.23
2.54,22,0,0.484,0,6.2
1.8,6,0,0.19,0,3.38
0.5,13,6,0.331,0,1.0
1.3,11,3,0.294,0,5.23
1.42,15,5,0.315,0,3.13
3.31,19,5,0.911,0,16.69
6.88,7,5,0.697,0,23.06
3.21,22,3,0.482,0,6.86
0.5,1,5,0.374,0,1.0
15.83,12,1,0.353,1,40.15
14.3,7,3,0.744,0,49.27
7.69,20,0,0.392,0,18.57
23.74,19,6,0.998,0,119.25
3.93,15,5,0.318,1,8.98
16.45,3,2,0.18,0,38.17
0.5,15,5,0.486,1,1.0
2.28,19,0,0.866,0,8.21
1.28,5,1,0.39,0,4.43
1.09,3,3,0.185,0,2.62
0.76,15,5,0.464,0,1.0
4.87,22,2,0.46,0,13.85
7.6,22,6,0.367,1,21.63
4.32,20,0,0.133,0,9.09
0.79,12,6,0.345,0,1.16
8.33,4,6,0.279,0,21.59
5.05,14,2,0.307,1,11.53
2.46,7,4,0.648,0,8.87
5.61,6,0,0.497,0,15.54
1.5,13,4,0.128,0,1.67
2.12,6,2,0.206,0,3.97
12.47,21,3,0.315,0,27.4
1.72,6,3,0.417,0,5.77
3.17,22,3,0.258,1,8.51
11.04,17,6,0.755,1,40.73
6.15,9,4,0.781,0,22.25
0.5,17,6,0.701,0,2.9
0.8,13,3,0.377,0,2.99
0.5,9,6,0.639,0,2.8
4.98,6,1,0.429,0,14.0
2.97,6,0,0.393,0,7.41
0.72,6,0,0.554,1,1.82
15.84,4,6,0.216,0,33.38
3.77,0,2,0.348,0,7.69
1.38,13,5,0.156,0,3.71
3.47,17,4,1.0,1,19.66
5.69,12,0,0.311,0,15.23
0.5,7,6,0.741,0,1.43
1.61,7,4,0.871,1,5.5
8.22,9,2,0.863,0,35.14
3.08,16,3,0.376,0,8.22
3.95,5,5,0.123,0,7.31
2.84,14,2,0.348,1,7.5
0.5,14,1,0.463,0,2.52
0.91,15,3,0.303,1,1.0
2.95,7,3,0.946,1,13.48
1.17,18,3,0.746,0,6.17
0.5,19,2,0.698,0,3.28
9.28,14,1,0.278,0,22.24
19.87,2,5,0.415,0,51.39
7.88,5,4,0.464,0,19.7
9.61,7,2,0.667,0,33.39
1.39,15,0,0.455,0,3.01
16.17,14,0,0.264,1,39.37
1.1,12,2,0.29,1,4.39
15.12,19,4,0.821,0,58.47
26.31,14,0,0.401,0,68.8
6.22,17,4,0.887,1,28.33
19.85,12,3,0.542,1,58.56
4.21,23,2,0.443,0,12.35
1.5,7,3,0.997,0,6.99
2.87,13,0,0.479,0,6.32
4.5,10,4,0.378,0,12.41
0.5,5,3,0.289,0,3.48
4.87,23,0,0.419,1,13.62
19.86,0,6,0.55,1,60.22
1.05,1,1,0.352,0,3.62
7.87,12,3,0.427,0,23.64
11.92,0,1,0.412,0,31.22
14.39,23,1,0.31,0,32.01
16.11,23,5,0.478,0,47.08
3.69,3,0,0.532,1,8.61
18.93,23,2,0.18,0,41.73
7.08,22,4,0.347,0,16.7
0.88,1,6,0.181,0,1.0
3.24,20,0,0.324,0,9.41
6.34,19,5,0.897,1,28.48
1.42,15,5,0.425,0,2.54
5.12,2,6,0.36,0,14.91
5.49,16,3,0.563,1,16.22
0.89,4,4,0.289,0,4.95
4.16,7,5,0.642,0,12.96
7.38,11,2,0.452,0,19.59
3.45,22,0,0.297,0,7.87
0.5,11,2,0.24,0,1.0
0.5,0,3,0.419,0,2.17
2.21,0,0,0.12,0,3.74
13.03,14,3,0.483,0,36.3
1.3,16,4,0.386,1,4.09
5.03,1,4,0.352,0,15.73
1.26,16,2,0.524,1,2.66
1.94,19,2,0.919,0,7.84
9.42,8,4,0.716,0,32.11
6.53,11,1,0.329,0,16.94
0.5,3,4,0.231,0,1.0
2.8,12,6,0.44,0,6.27
0.5,3,0,0.35,0,1.42
3.28,6,6,0.564,1,10.78
5.43,13,3,0.647,1,17.02
0.63,8,4,0.91,0,2.93
1.7,22,4,0.4,0,4.88
2.54,0,5,0.403,0,6.69
12.6,0,3,0.45,0,35.0
24.99,19,5,0.777,1,92.41
0.5,3,3,0.448,0,1.0
7.16,0,6,0.356,0,16.99
2.32,21,0,0.128,0,1.53
2.49,9,3,0.626,0,6.2
7.02,1,2,0.293,0,18.07
12.53,20,4,0.414,0,34.35
15.07,23,3,0.254,0,33.59
4.3,14,0,0.441,0,9.14
2.21,2,3,0.297,0,5.41
7.75,22,4,0.111,0,17.38
1.45,8,1,1.0,1,6.05
4.15,16,3,0.446,1,10.45
2.22,20,2,0.51,1,7.56
5.34,12,4,0.33,1,15.85
1.37,2,0,0.219,0,2.28
1.06,3,6,0.294,0,3.42
12.52,3,6,0.442,0,34.03
0.54,10,4,0.291,1,2.94
3.53,6,5,0.412,0,7.67
1.25,10,1,0.332,0,3.15
0.5,23,0,0.45,1,1.0
0.5,10,1,0.451,0,1.27
0.96,9,6,0.989,0,6.06
10.08,4,1,0.496,0,28.67
1.66,12,2,0.442,0,3.37
15.02,11,6,0.23,0,36.23
4.36,9,3,0.998,0,22.48
2.87,6,2,0.11,0,6.5
4.34,18,2,0.925,0,17.68
3.64,18,5,0.974,0,18.23
7.11,18,2,0.965,0,32.79
1.66,11,0,0.405,1,2.9
2.18,19,3,0.731,0,6.37
11.23,21,3,0.546,1,34.27
14.64,14,6,0.343,0,37.56
11.15,4,0,0.162,0,24.74
2.72,23,2,0.169,0,2.82
7.58,13,2,0.155,0,18.33
3.23,11,1,0.187,0,8.56
3.44,20,6,0.231,0,7.16
1.15,10,6,0.396,0,5.05
4.47,4,1,0.274,1,9.23
1.03,15,5,0.428,0,2.91
2.01,17,4,1.0,1,10.23
9.66,11,1,0.345,0,24.71
1.16,4,3,0.321,0,1.0
0.5,15,0,0.162,0,1.0
0.5,11,2,0.365,1,1.14
14.13,22,4,0.218,0,31.21
3.54,1,1,0.35,0,9.44
2.63,5,6,0.415,0,7.2
8.33,22,4,0.499,0,25.75
9.03,20,0,0.138,0,21.65
2.02,3,0,0.475,0,5.73
5.91,12,6,0.475,1,18.78
7.37,9,4,0.942,1,34.21
5.32,16,4,0.214,0,12.13
0.82,13,5,0.184,0,4.41
10.43,23,4,0.323,0,24.45
3.87,14,2,0.478,0,8.54
1.66,7,3,0.71,0,5.43
2.77,22,1,0.274,0,6.91
0.5,23,6,0.182,0,2.06
0.68,17,1,0.921,0,1.35
7.25,2,1,0.597,1,22.36
0.5,16,4,0.205,0,1.0
2.69,23,6,0.199,0,5.69
3.7,23,4,0.464,0,12.25
0.5,6,5,0.254,0,1.4
18.07,12,4,0.103,0,37.11
1.28,15,5,0.388,0,1.0
1.81,4,5,0.307,0,3.89
1.81,3,2,0.41,0,4.77
1.31,9,2,0.93,0,5.93
0.5,12,2,0.241,0,1.0
6.53,9,2,0.859,0,27.24
17.03,13,0,0.446,0,43.84
1.27,21,2,0.183,0,3.03
5.44,11,2,0.489,0,15.16
6.77,0,2,0.198,0,16.36
9.43,20,5,0.431,0,27.1
2.75,19,1,1.0,1,10.23
1.8,19,6,1.0,1,10.02
1.97,6,1,0.261,0,6.25
6.23,8,1,0.709,0,22.73
8.49,7,3,0.979,0,40.3
1.0,12,0,0.353,0,4.19
2.32,13,5,0.288,0,4.76
11.61,11,4,0.323,0,27.17
8.22,7,5,0.8,0,31.58
20.95,20,2,0.122,0,45.04
7.02,21,1,0.392,1,19.66
2.5,17,5,0.701,0,7.6
4.47,15,0,0.462,0,12.57
5.41,10,2,0.266,0,11.15
0.5,15,3,0.274,0,3.2
3.93,13,4,0.37,0,10.99
6.18,2,2,0.183,0,10.47
0.92,20,6,0.449,0,4.29
7.59,1,4,0.421,1,20.54
4.38,2,5,0.472,0,12.37
15.21,3,2,0.209,0,37.45
0.5,21,3,0.286,0,1.0
1.54,4,5,0.411,0,4.74
4.6,9,0,0.768,1,16.54
1.76,19,4,0.788,0,5.3
6.27,1,4,0.212,0,16.38
7.11,11,0,0.231,0,15.21
0.54,4,6,0.303,0,1.0
3.61,4,4,0.181,0,8.54
3.56,22,5,0.151,0,9.61
2.3,0,1,0.438,0,5.77
13.51,3,6,0.41,0,37.05
8.79,20,0,0.473,0,27.06
5.97,23,3,0.335,0,17.61
6.26,11,6,0.268,0,16.79
3.1,11,2,0.291,1,9.36
