distance_km,driver_rating,acceptance_rate,avg_response_time_sec,completed_trips,eta_minutes,price_estimate,match_score
1.25,4.1,0.654,23.3,1632,4.38,10226,0.7396
2.61,4.29,0.719,56.6,379,7.96,36691,0.6783
0.2,4.89,0.823,77.9,3,3.04,2060,0.7747
1.31,3.41,0.772,54.7,1688,1.0,16373,0.5889
2.28,4.06,0.783,46.4,1639,4.98,23389,0.6849
7.65,3.23,0.551,75.0,910,21.7,66869,0.469
0.2,3.95,0.573,11.4,1100,1.52,2090,0.7043
4.44,4.58,0.812,94.5,1919,9.34,62207,0.7481
2.74,3.62,0.828,27.7,582,6.19,31145,0.6359
1.09,4.18,0.871,90.6,53,3.09,13628,0.5835
4.03,4.34,0.98,104.0,50,7.88,39090,0.5861
0.44,3.35,0.523,78.3,448,1.0,5213,0.5703
3.43,3.08,0.718,50.7,774,9.97,32634,0.555
0.2,3.35,0.865,20.1,1446,1.0,2679,0.7047
0.79,4.11,0.947,113.1,1175,1.47,10437,0.7291
0.94,4.17,0.825,12.4,416,2.67,11583,0.7521
0.26,4.32,0.887,113.0,1386,1.0,2517,0.8583
0.94,4.07,0.714,69.4,1373,1.0,8707,0.6065
4.39,3.91,0.975,47.5,1121,10.29,35829,0.7154
0.2,4.75,0.775,39.2,1512,1.66,2905,0.9419
1.89,3.47,0.679,41.5,1094,9.18,27702,0.589
2.14,4.01,0.558,80.2,1537,3.57,18764,0.7443
4.27,4.14,0.907,47.2,1106,11.9,56168,0.8372
7.51,3.24,0.759,61.4,1526,17.48,102757,0.4727
4.03,4.79,0.545,38.6,1940,10.95,34935,0.721
3.54,4.31,0.873,100.0,1308,10.57,41779,0.6242
3.59,3.09,0.524,41.1,1704,7.27,51514,0.5175
0.36,3.13,0.661,114.8,1308,1.4,3924,0.5508
5.06,4.66,0.636,27.3,1714,11.6,67002,0.6567
0.24,3.45,0.995,112.3,682,1.01,3275,0.5535
0.45,4.55,0.771,87.8,1188,1.38,4099,0.7859
1.94,4.16,0.707,119.1,839,8.64,28043,0.6485
10.56,4.72,0.69,62.6,1235,22.65,109037,0.612
4.16,4.21,0.822,40.6,400,9.71,48393,0.6261
0.31,4.27,0.528,20.6,1603,2.18,2509,0.8271
0.2,4.68,0.876,54.7,55,1.0,2728,0.6608
2.83,4.1,0.666,76.9,578,8.56,36417,0.675
0.28,3.73,0.557,19.0,1458,2.05,3919,0.7642
0.66,4.62,0.969,41.9,1533,1.0,5904,0.857
3.98,3.75,0.834,10.0,1544,9.09,36996,0.6896
2.79,4.53,0.777,27.6,1216,6.62,27530,0.7549
0.56,4.15,0.731,39.8,778,4.03,5162,0.7813
0.77,4.22,0.921,104.0,1086,1.0,10519,0.712
1.13,3.78,0.848,53.0,483,1.0,13552,0.695
4.21,4.27,0.951,11.3,980,8.8,38195,0.8082
1.36,3.69,0.513,36.2,405,4.69,18948,0.6056
3.42,4.16,0.997,9.7,1855,9.38,28760,0.7236
3.78,3.23,0.583,82.9,1898,10.22,40015,0.523
2.39,4.9,0.689,95.2,1716,1.47,33224,0.7039
4.26,3.11,0.771,104.9,91,13.73,34150,0.4355
0.45,3.03,0.955,28.2,456,2.21,5660,0.5441
2.43,4.21,0.756,31.2,1619,6.15,19464,0.7446
7.69,4.22,0.637,34.4,56,21.4,68340,0.4921
1.19,4.85,0.589,48.1,1002,2.14,14194,0.7737
0.36,3.06,0.896,44.8,468,2.31,3052,0.6321
1.14,3.83,0.759,107.9,207,2.11,13145,0.6598
1.18,3.82,0.958,57.3,1093,4.61,15500,0.7133
7.11,3.55,0.617,82.2,1786,15.94,84192,0.5251
8.89,4.67,0.525,48.2,135,22.91,122766,0.5717
3.07,4.53,0.548,105.8,98,6.71,43899,0.6088
2.38,4.69,0.989,9.6,498,7.05,31176,0.9244
1.32,4.1,0.663,6.0,1522,6.12,18886,0.8182
2.65,4.16,0.728,6.4,57,5.83,37661,0.7275
0.36,4.33,0.676,62.3,1404,1.0,3148,0.7092
5.41,4.53,0.868,99.3,1854,15.45,76708,0.6961
0.2,3.73,0.99,50.6,411,1.0,2762,0.6599
0.5,4.59,0.961,118.3,1354,1.42,6206,0.7624
1.5,3.09,0.648,45.8,1489,3.63,15092,0.5837
0.67,3.89,0.989,12.9,135,1.32,6601,0.7826
2.78,3.13,0.718,81.6,270,6.72,35490,0.4356
10.28,3.0,0.724,55.2,699,25.78,135127,0.3873
6.76,4.05,0.768,38.1,668,16.09,58645,0.6346
6.45,3.02,0.623,41.5,1194,16.24,85041,0.4724
0.37,4.74,0.693,105.3,1107,3.22,4904,0.793
2.37,3.01,0.914,87.1,1815,3.66,26601,0.5065
11.37,4.15,0.949,20.0,523,25.12,150109,0.6755
2.15,3.89,0.995,66.8,1758,3.29,27696,0.7685
1.16,3.64,0.971,60.2,1005,4.2,15882,0.7358
0.52,4.2,0.582,72.4,1549,2.45,6650,0.6868
3.02,3.26,0.701,82.0,1335,5.25,42129,0.5327
2.07,3.47,0.627,31.3,950,5.01,30826,0.6126
0.34,4.63,0.824,74.0,1163,1.0,3635,0.8257
1.49,4.42,0.961,64.9,1140,1.56,15656,0.7398
3.0,3.28,0.574,37.7,451,10.46,40597,0.5722
1.78,4.15,0.701,59.7,113,3.22,15028,0.5686
4.05,4.35,0.554,98.8,173,9.81,34637,0.522
2.27,4.84,0.776,86.6,138,3.88,33430,0.6948
7.41,3.97,0.853,9.1,1699,17.95,76196,0.6053
0.31,4.35,0.945,41.7,1058,1.84,3549,0.863
0.51,3.71,0.76,16.8,1705,1.0,7023,0.7468
0.43,4.24,0.677,98.1,1092,2.72,4110,0.7249
2.05,3.59,0.891,37.5,949,8.69,21121,0.723
1.46,3.95,0.983,78.5,326,1.0,16460,0.5892
2.72,4.23,0.806,22.5,659,10.47,40444,0.7389
3.22,4.78,0.994,72.0,150,8.37,44109,0.7576
0.43,4.56,0.904,62.2,625,1.33,5255,0.8265
2.18,4.73,0.996,11.0,1584,10.96,24768,0.8512
3.47,4.02,0.925,13.6,1490,8.89,28797,0.7738
2.47,4.08,0.822,59.9,626,5.03,33007,0.6583
5.5,3.65,0.661,13.8,1458,15.31,48489,0.6238
5.0,3.96,0.718,48.5,952,11.5,68007,0.5798
1.94,4.3,0.844,75.5,501,8.32,18323,0.645
1.25,3.88,0.511,48.3,153,4.22,14492,0.573
1.66,4.07,0.678,83.7,1495,5.51,23405,0.6409
9.6,4.47,0.989,88.3,15,24.41,119106,0.5178
5.12,4.03,0.588,39.9,1325,13.57,60271,0.6455
4.84,3.91,0.942,101.4,927,12.51,48876,0.6763
2.7,4.97,0.914,27.3,312,8.77,26346,0.8717
1.78,3.15,0.939,94.5,966,2.77,25880,0.5616
9.71,4.74,0.514,65.3,1521,21.42,88909,0.5235
0.2,3.4,0.78,59.1,1649,2.78,2534,0.611
0.56,4.12,0.853,31.7,1202,2.51,5335,0.8084
2.96,4.16,0.9,108.9,1531,7.31,37010,0.6369
0.56,3.98,0.757,43.5,1827,1.73,5646,0.7311
0.2,3.49,0.876,41.5,939,2.3,1700,0.711
0.86,4.84,0.997,108.3,1586,4.07,8479,0.8302
0.55,3.01,0.956,10.9,443,1.36,7295,0.6794
8.06,4.95,0.984,36.5,366,18.51,105552,0.7371
4.14,3.39,0.786,91.4,1888,8.28,40652,0.522
2.34,4.43,0.85,74.3,983,8.41,33943,0.8342
1.6,3.67,0.783,119.0,1463,1.55,13767,0.5814
2.1,3.75,0.886,112.3,1655,6.52,30845,0.6206
2.67,3.67,0.806,105.9,341,6.01,38318,0.5706
1.9,3.74,0.68,27.5,1100,1.27,26856,0.7417
0.72,4.25,0.581,107.8,1457,3.91,5751,0.7362
0.71,4.57,0.761,101.0,683,1.0,7240,0.7993
2.09,3.27,0.569,117.1,1352,7.73,25214,0.5735
0.95,4.67,0.983,20.5,534,1.33,7771,0.8601
0.37,4.97,0.708,7.4,55,2.14,4498,0.8869
0.2,4.4,0.604,13.9,645,4.58,2514,0.7993
0.2,3.81,0.963,99.8,800,1.0,2821,0.6036
2.12,3.78,0.648,82.6,1028,2.56,20758,0.756
6.25,4.83,0.934,61.0,1615,20.98,86201,0.8234
0.75,4.68,0.789,89.0,548,1.0,6431,0.832
0.5,4.98,0.84,71.4,148,2.82,6377,0.8257
8.67,4.48,0.822,116.1,1434,23.32,92919,0.5539
0.23,3.66,0.568,75.2,778,1.0,3192,0.6209
0.55,4.71,0.752,31.7,1416,3.49,6355,0.8113
0.94,3.68,0.645,11.8,1183,2.96,12431,0.7699
2.02,3.2,0.705,102.5,237,2.67,26255,0.4982
0.2,4.63,0.734,47.1,1319,1.0,1633,0.8654
3.75,4.22,0.625,26.4,1524,10.31,54392,0.8248
5.23,4.3,0.839,49.5,413,14.37,43833,0.713
2.6,3.64,0.673,24.1,172,7.92,26821,0.6165
4.63,3.03,0.789,63.3,1468,8.6,55141,0.6191
2.74,4.13,0.926,50.6,1626,7.9,35154,0.7393
2.31,4.53,0.615,45.9,1574,7.75,22110,0.7698
4.0,4.78,0.628,30.6,1543,9.21,43228,0.8263
6.75,4.87,0.776,55.2,1729,15.5,82166,0.7765
4.19,4.6,0.865,11.2,2,7.6,47566,0.7704
0.95,3.87,0.863,6.0,1565,3.64,10148,0.6663
0.71,3.63,0.795,114.3,248,1.0,8085,0.4469
1.03,3.63,0.567,106.8,1759,1.0,8870,0.5939
1.91,4.06,0.937,109.4,635,7.64,15809,0.6137
1.78,3.62,0.953,76.3,901,3.05,24154,0.7054
1.26,4.08,0.884,98.1,793,1.0,10695,0.6052
0.47,4.49,0.732,82.8,101,2.11,4386,0.6464
12.58,3.14,0.759,8.8,194,30.4,112278,0.3989
3.94,3.98,0.534,21.3,1824,6.63,58238,0.6528
0.66,4.32,0.965,45.2,192,1.0,6531,0.7253
2.04,4.81,0.943,18.0,411,6.2,30146,0.8221
1.19,4.58,0.931,6.9,541,5.02,14477,0.8214
6.44,4.25,0.779,116.1,680,14.28,58657,0.6096
4.26,4.5,0.735,41.1,1215,9.7,40445,0.7268
1.11,3.76,0.797,23.8,1217,5.05,9457,0.7739
5.6,3.18,0.547,18.7,1879,14.07,69321,0.4678
0.27,4.31,0.682,8.8,559,2.08,3927,0.7354
4.29,4.14,0.596,31.0,916,9.3,43834,0.7886
0.94,4.67,0.905,92.1,1291,4.61,9863,0.8129
0.82,3.36,0.596,89.1,1146,3.17,9318,0.5413
2.2,4.93,0.996,55.4,503,2.51,22495,0.8768
0.75,4.74,0.867,85.3,591,2.95,8637,0.8185
0.2,4.64,0.515,23.3,1865,1.0,2726,0.8213
0.71,3.89,0.778,55.9,664,1.0,7538,0.6509
0.3,3.66,0.628,84.3,1640,1.0,3235,0.6364
1.41,4.7,0.729,40.5,1176,3.81,12957,0.7955
3.68,3.79,0.613,88.8,1049,9.86,45409,0.5607
5.52,4.06,0.987,100.8,801,14.97,74735,0.6464
2.24,3.64,0.716,79.7,270,3.28,21163,0.4365
7.4,4.24,0.958,80.1,886,18.67,108500,0.6467
0.85,4.28,0.656,92.6,355,2.16,9668,0.6385
0.75,3.04,0.665,117.4,107,1.15,6239,0.4382
7.65,3.28,0.739,18.4,1001,19.01,112340,0.5518
7.32,4.3,0.899,37.3,1914,18.39,90390,0.6204
0.76,4.68,0.989,113.3,1811,2.62,9274,0.781
2.97,4.71,0.849,19.4,1735,4.04,25380,0.8886
4.28,3.55,0.846,19.2,1027,13.07,52098,0.7091
0.35,4.62,0.535,90.3,402,1.32,3779,0.599
1.5,3.58,0.576,106.5,251,4.19,12771,0.4495
0.31,4.2,0.512,22.7,491,4.68,2581,0.6642
1.28,3.55,0.76,37.8,1966,4.15,11362,0.6562
0.61,4.52,0.754,44.9,969,1.34,6003,0.8622
1.61,4.9,0.733,30.2,467,3.49,17128,0.8589
2.82,4.92,0.671,92.1,1349,8.52,29822,0.8163
2.44,3.21,0.674,53.4,1387,2.71,35256,0.5278
7.61,4.85,0.993,116.4,518,19.88,102754,0.5768
2.06,4.35,0.546,66.3,661,5.63,16654,0.7243
2.02,3.58,0.853,83.0,1757,6.45,25034,0.6398
0.69,4.15,0.974,56.4,1096,1.0,7259,0.744
0.96,3.39,0.812,25.1,1454,2.26,11220,0.7
0.2,4.91,0.907,85.9,1647,1.0,2332,0.8507
7.78,4.44,0.584,6.6,1159,17.76,116448,0.621
14.1,4.84,0.664,21.5,1559,35.73,188632,0.6059
0.35,3.13,0.631,92.9,898,1.03,2783,0.5093
1.75,4.7,0.868,33.7,1163,5.8,24274,0.8852
0.2,4.01,0.9,105.9,1309,2.66,2777,0.7117
7.82,3.32,0.997,113.3,509,18.05,78035,0.3637
0.38,3.09,0.789,74.5,1266,1.0,3133,0.5837
1.8,4.0,0.807,19.5,1515,6.73,23245,0.716
3.28,5.0,0.864,74.2,368,10.89,31261,0.6969
1.32,4.31,0.965,70.1,215,2.3,17494,0.7438
1.55,3.33,0.908,57.7,1652,2.91,18474,0.5863
1.07,3.05,0.732,73.1,950,3.44,9433,0.6019
1.71,3.92,0.924,40.2,1807,2.32,24316,0.753
1.01,4.46,0.682,13.4,1073,1.2,13396,0.8331
1.58,3.66,0.653,68.7,872,5.63,13993,0.6029
2.55,3.14,0.856,81.9,1615,6.02,33478,0.5525
0.9,3.75,0.871,61.7,454,1.0,13004,0.6449
0.2,3.93,0.82,47.3,760,3.29,2394,0.578
2.55,4.12,0.858,82.2,1606,6.73,23599,0.7319
0.2,3.86,0.893,65.7,727,1.0,2466,0.6398
2.76,3.22,0.785,115.7,855,6.36,22565,0.5298
0.41,3.22,0.55,23.9,563,1.0,5172,0.547
3.72,3.88,0.843,56.4,1426,13.73,40506,0.7281
2.08,3.14,0.892,68.4,1641,1.86,29698,0.5345
7.92,3.69,0.748,69.3,1903,20.79,71186,0.5181
0.85,3.44,0.565,88.0,379,1.96,7545,0.4092
3.95,3.2,0.54,46.7,689,9.0,49517,0.411
6.82,3.62,0.532,56.4,1232,15.15,61418,0.5901
7.94,4.67,0.702,106.3,694,22.42,116824,0.5799
1.21,4.51,0.651,56.8,705,2.62,13568,0.7055
1.15,3.65,0.865,100.6,1125,3.03,9699,0.6228
0.39,3.31,0.893,28.8,1886,3.43,4330,0.6572
4.73,3.59,0.988,69.4,1633,9.64,45472,0.5929
4.3,4.43,0.951,80.9,87,12.52,59215,0.619
2.07,3.7,0.559,30.9,1484,5.16,27358,0.6938
2.31,4.04,0.861,41.0,1627,2.94,18971,0.7245
1.59,4.93,0.815,101.9,1263,3.28,20036,0.829
6.77,4.07,0.725,46.2,1415,12.45,83809,0.674
1.94,3.66,0.62,74.1,921,2.83,23755,0.5867
1.7,3.0,0.919,86.1,618,1.95,25208,0.5307
1.09,3.91,0.891,45.7,888,5.9,15136,0.7934
14.12,4.42,0.51,25.0,1768,33.45,133419,0.5638
2.83,3.7,0.635,117.7,1045,7.74,34162,0.5173
0.49,3.89,0.843,29.4,1043,4.0,5485,0.6506
4.2,4.55,0.944,101.6,437,10.08,46674,0.6321
11.27,4.76,0.553,105.4,1116,26.94,151664,0.4466
4.88,4.67,0.66,85.0,643,13.62,70526,0.643
5.41,3.86,0.725,48.8,992,12.87,58590,0.6157
2.92,3.6,0.96,80.4,1383,7.98,42817,0.6624
1.33,4.13,0.513,79.8,268,6.57,14642,0.5263
2.61,3.81,0.729,105.9,192,6.86,34125,0.5211
1.08,3.25,0.824,42.6,226,7.56,10698,0.454
1.1,4.01,0.774,91.3,611,1.89,13979,0.6869
0.65,3.71,0.576,118.6,759,2.03,9527,0.5913
8.96,3.46,0.921,59.6,872,19.58,87475,0.5199
0.62,3.41,0.824,52.2,101,1.0,7341,0.5244
0.2,4.5,0.796,30.2,1425,1.0,1612,0.9387
4.87,4.09,0.991,25.2,659,14.27,64197,0.6117
2.95,4.65,0.796,114.4,792,7.52,43255,0.6604
1.13,4.99,0.525,48.6,809,2.74,12533,0.7093
0.73,4.88,0.693,98.1,204,1.0,8177,0.7082
3.24,3.47,0.893,35.9,1859,6.44,27781,0.6086
4.06,4.68,0.673,65.9,1534,10.49,32946,0.7187
3.04,4.13,0.538,47.3,1254,4.22,28558,0.7049
2.11,4.33,0.546,68.8,115,6.82,23539,0.6098
0.2,4.55,0.739,100.1,1905,1.0,1768,0.7454
3.33,3.24,0.541,33.2,291,6.87,35078,0.5465
1.99,3.9,0.732,45.8,220,6.43,17905,0.6608
2.03,3.62,0.806,81.5,1293,3.77,17078,0.6328
1.56,4.74,0.52,97.8,1705,5.69,21244,0.7416
2.64,3.72,0.665,28.9,1201,5.94,38746,0.6315
0.48,4.95,0.571,20.4,850,3.64,7237,0.901
1.38,3.41,0.613,15.3,530,1.31,19001,0.4978
2.32,4.11,0.632,66.7,1434,5.26,32594,0.6587
1.61,4.29,0.916,43.9,485,2.24,13153,0.7286
0.46,4.34,0.745,5.9,1956,2.32,3755,0.8495
2.32,3.53,0.661,117.5,1301,4.63,28814,0.5208
0.54,3.93,0.577,81.0,1083,2.2,5697,0.6496
0.95,3.01,0.77,23.6,1557,2.36,9361,0.6127
3.67,4.02,0.733,18.4,648,7.12,44923,0.6476
1.27,3.49,0.714,115.5,1225,2.9,12345,0.55
0.88,4.94,0.653,87.5,300,1.41,7259,0.7068
1.75,3.11,0.885,84.3,669,2.22,17320,0.5225
9.62,3.53,0.809,66.8,482,25.2,112572,0.445
1.89,4.9,0.957,117.3,1708,9.4,24870,0.8854
3.66,3.47,0.665,24.4,828,9.76,29820,0.5565
1.03,3.48,0.771,111.8,831,1.67,13418,0.6298
0.89,3.96,0.565,33.4,1766,5.35,10058,0.794
4.78,4.06,0.912,90.7,338,11.86,40276,0.5088
2.71,3.99,0.718,95.0,983,8.7,23771,0.6767
1.07,4.14,0.95,27.5,1883,1.0,15447,0.817
1.14,4.76,0.898,81.8,245,2.06,16229,0.7903
3.8,4.45,0.966,63.2,540,9.28,42614,0.6548
4.6,3.71,0.812,36.5,741,11.79,63146,0.4752
0.53,4.07,0.817,85.6,775,1.45,4691,0.7721
3.06,4.04,0.55,51.6,575,10.25,40233,0.6227
2.73,3.47,0.51,16.0,1893,6.36,36450,0.6459
3.81,3.14,0.613,66.0,1573,10.4,50902,0.4778
0.69,4.63,0.53,91.5,1644,1.0,7959,0.7096
14.93,4.86,0.955,85.1,388,34.93,174800,0.4965
0.66,3.02,0.683,26.3,174,5.03,7345,0.4938
6.14,3.12,0.588,85.2,774,11.53,59591,0.4649
3.56,3.1,0.707,64.5,108,8.96,44152,0.4578
2.39,4.74,0.729,35.3,894,6.73,28830,0.8242
0.81,3.98,0.62,19.0,970,1.0,11722,0.7868
2.55,4.0,0.896,95.2,301,6.1,33660,0.5505
1.46,3.87,0.555,9.0,534,8.08,20875,0.6893
4.94,4.02,0.911,55.7,766,11.15,51753,0.6697
0.2,3.18,0.955,52.6,888,1.0,1870,0.561
1.89,4.83,0.572,40.6,1767,3.92,20914,0.8131
14.73,4.42,0.503,46.2,410,35.62,163317,0.3395
4.59,4.87,0.804,116.3,1601,9.35,44333,0.675
1.76,3.04,0.77,85.5,792,5.33,24939,0.4504
2.1,4.35,0.717,47.0,465,4.52,26379,0.6503
0.56,4.62,0.693,110.5,1098,4.09,7091,0.6671
1.73,4.69,0.717,34.0,1551,2.33,15966,0.8826
4.64,3.69,0.602,95.1,1966,10.16,61819,0.5158
2.43,3.63,0.703,38.6,1274,6.34,20912,0.5387
2.55,4.76,0.956,61.8,1736,5.92,34470,0.9021
2.2,4.11,0.63,109.5,1456,4.3,27748,0.7073
5.9,4.07,0.921,108.5,333,10.93,61404,0.5073
4.31,3.39,0.572,86.4,992,7.08,47381,0.3892
0.2,3.09,0.762,23.8,1791,1.0,2852,0.6061
2.52,4.4,0.89,60.2,776,6.22,31388,0.6684
2.53,3.12,0.606,52.7,1283,9.57,23139,0.5494
3.87,3.71,0.751,112.4,1254,11.59,50321,0.4813
0.91,4.76,0.87,89.6,470,3.8,7768,0.7609
13.74,4.82,0.588,103.0,250,28.83,143819,0.4252
2.21,3.71,0.824,100.5,1624,8.31,30479,0.7062
4.74,3.8,0.767,77.8,68,7.35,64932,0.4713
1.36,4.17,0.627,106.2,1317,3.15,20142,0.6552
1.81,4.96,0.603,55.4,161,4.74,18287,0.7628
3.41,3.9,0.998,91.0,1141,11.32,48348,0.6873
3.86,4.58,0.737,24.1,433,9.03,52990,0.7399
0.43,3.91,0.887,13.4,1762,1.83,5432,0.7813
0.37,3.21,0.844,60.1,422,1.0,4787,0.6015
3.68,4.25,0.776,101.1,1296,7.15,35043,0.6277
0.2,3.62,0.986,85.6,197,1.0,2869,0.5949
6.9,4.19,0.569,98.6,966,15.9,69318,0.538
3.92,3.52,0.968,20.0,750,13.84,35764,0.625
4.86,3.77,0.787,32.3,108,15.85,41099,0.5689
3.99,4.03,0.995,92.2,235,11.89,56316,0.5915
2.71,3.68,0.679,118.1,524,4.88,28175,0.5175
13.17,4.91,0.558,89.2,1181,31.28,195932,0.4958
0.2,4.13,0.61,67.3,197,1.79,2028,0.6235
1.59,4.9,0.688,105.8,1089,1.52,14374,0.7637
8.68,3.26,0.886,78.2,914,19.08,75604,0.4065
0.93,3.69,0.615,71.8,395,2.32,13248,0.5239
2.01,4.03,0.97,88.6,1239,6.34,21427,0.697
4.07,4.77,0.688,95.2,1145,10.25,42918,0.7345
1.31,3.88,0.796,5.2,196,1.0,11031,0.7028
2.88,4.4,0.537,107.9,966,4.03,42399,0.6964
4.97,4.24,0.767,94.1,1763,9.8,71066,0.7356
0.44,3.01,0.884,109.6,820,1.0,4023,0.55
2.32,4.3,0.824,14.1,329,2.77,23590,0.6714
0.2,4.15,0.832,45.3,1876,3.06,1711,0.7758
0.42,3.64,0.794,40.1,1519,1.61,4392,0.62
9.7,4.06,0.998,118.0,1700,24.15,99790,0.5092
0.2,3.12,0.7,41.1,1425,1.0,2904,0.5168
2.24,3.15,0.744,42.2,1549,4.33,31538,0.6377
0.71,4.49,0.731,103.2,343,1.84,8528,0.6339
0.49,4.7,0.628,21.8,556,1.55,5908,0.8244
2.98,4.04,0.691,23.9,1759,5.71,41570,0.6182
5.34,4.15,0.766,13.9,1977,13.48,48213,0.6519
1.92,3.07,0.821,79.8,484,3.27,20795,0.4666
0.2,3.66,0.679,87.5,274,1.0,1814,0.551
3.3,4.98,0.715,60.0,1989,6.87,47833,0.8006
2.88,4.43,0.777,18.2,1194,8.0,40369,0.7238
10.15,3.37,0.975,99.4,51,22.73,126894,0.3747
3.33,4.86,0.79,88.1,437,6.47,34099,0.7135
1.7,4.42,0.732,23.3,1808,2.16,24828,0.7802
2.1,4.46,0.698,106.3,1564,4.57,30015,0.733
4.23,4.49,1.0,23.5,716,11.2,35975,0.7861
2.77,3.17,0.998,101.8,1267,6.42,29300,0.4792
1.17,4.35,0.953,19.7,1043,1.0,10616,0.9156
0.85,3.55,0.554,20.3,1616,3.62,12096,0.7217
3.8,4.64,0.651,81.5,638,6.34,36720,0.6158
1.79,4.05,0.791,38.5,1654,5.82,26707,0.8806
1.16,3.46,0.866,102.8,1996,2.23,17090,0.6803
5.23,4.48,0.929,75.6,1012,18.02,78233,0.6894
1.13,3.59,0.731,9.4,1440,5.47,11385,0.638
4.74,4.32,0.953,75.3,963,10.77,69728,0.6311
3.27,4.05,0.956,67.3,1036,7.56,30030,0.7312
2.76,4.0,0.543,100.8,908,3.71,33811,0.6226
0.2,4.48,0.992,64.7,64,2.83,2802,0.6957
9.1,4.48,0.97,78.5,891,19.18,129532,0.6097
1.53,4.14,0.743,79.6,1593,3.83,20150,0.7116
5.36,3.26,0.62,44.4,1597,12.17,69098,0.5305
2.04,3.82,0.658,112.8,1307,2.4,25378,0.5454
1.22,4.95,0.6,81.3,1993,4.24,13067,0.8021
3.69,3.45,0.958,115.9,1019,7.65,44967,0.5695
1.66,3.48,0.82,90.4,799,4.7,17571,0.5999
9.7,3.49,0.68,99.2,149,20.41,106377,0.3606
0.2,3.51,0.625,106.8,1736,1.9,2566,0.6293
0.4,3.79,0.527,57.9,1430,1.0,5480,0.639
0.84,4.84,0.735,32.5,1437,1.85,9182,0.8147
0.88,3.22,0.614,46.8,786,1.42,9431,0.5599
4.86,4.85,0.505,81.0,426,10.04,39673,0.6123
1.57,3.45,0.638,103.2,1288,6.5,22579,0.5552
5.56,3.98,0.633,26.0,783,14.28,79335,0.6522
6.16,4.68,0.801,92.3,922,16.67,69185,0.7229
7.01,4.49,0.681,106.2,8,16.93,74236,0.4872
6.89,4.97,0.504,39.7,1889,18.79,77636,0.7542
2.77,3.51,0.861,96.7,680,8.12,25104,0.5245
0.2,3.51,0.803,65.1,1830,1.0,2304,0.7344
3.54,4.45,0.516,94.5,450,8.93,52868,0.5798
1.94,4.96,0.95,80.9,483,1.06,25714,0.8375
3.06,4.98,0.775,75.7,1163,6.64,24845,0.8312
6.26,3.29,0.95,74.6,918,14.22,59870,0.5375
0.48,4.96,0.714,12.9,1008,2.21,4160,0.8754
1.41,3.08,0.554,9.5,1822,4.97,18120,0.6398
1.67,3.36,0.618,92.2,1510,2.0,21129,0.5108
5.24,4.28,0.875,82.1,1695,10.91,51394,0.7243
0.94,3.93,0.992,57.4,57,3.77,7854,0.5205
0.88,4.27,0.614,98.3,578,3.15,9764,0.5864
0.2,3.49,0.672,25.4,427,1.0,2611,0.6675
1.42,4.01,0.559,76.1,1848,2.88,15922,0.638
1.14,4.46,0.55,45.3,165,3.46,11682,0.6451
0.8,3.37,0.821,8.9,1844,1.0,8464,0.6578
0.5,4.87,0.726,41.0,1563,1.91,6468,0.8544
2.11,4.62,0.822,92.9,23,11.38,29127,0.6703
6.24,4.5,0.77,27.9,189,17.43,66421,0.7085
0.3,4.37,0.731,22.7,19,2.33,4237,0.76
0.41,3.34,0.936,111.1,1396,4.91,5498,0.5507
1.29,4.82,0.61,94.8,1301,1.0,14430,0.7726
0.26,4.09,0.928,21.6,100,1.0,2298,0.7307
0.81,3.21,0.956,106.0,735,4.05,10223,0.5734
4.13,4.86,0.508,65.1,869,6.65,37761,0.7888
0.81,4.29,0.781,81.5,860,6.71,11144,0.7319
2.01,4.63,0.812,34.4,1618,3.38,19288,0.8001
0.41,4.09,0.933,63.4,662,1.0,4100,0.6702
3.18,4.67,0.845,55.7,1109,10.25,37903,0.8116
3.7,4.72,0.964,19.0,958,10.11,50783,0.8365
1.91,4.12,0.621,89.1,1950,6.04,27374,0.7137
1.61,3.96,0.8,31.3,92,2.59,21265,0.6154
0.2,4.14,0.923,19.7,44,1.0,2859,0.7078
6.01,3.18,0.771,61.8,1744,14.86,79461,0.4452
5.34,4.83,0.606,53.4,988,14.88,71037,0.7648
0.49,4.69,0.912,23.0,153,1.58,5256,0.8122
2.44,4.36,0.798,71.9,1378,3.69,21499,0.7471
1.78,4.25,0.797,30.8,1534,7.33,15742,0.8947
5.43,3.11,0.896,63.1,13,15.34,59149,0.5024
1.25,3.02,0.59,15.0,1599,1.0,12441,0.6018
0.47,3.6,0.986,95.2,1450,3.57,5499,0.6613
2.83,4.89,0.887,71.8,1030,11.01,26759,0.8031
0.2,4.6,0.772,85.7,1747,1.0,2369,0.7194
0.63,3.98,0.814,24.8,1702,2.37,7067,0.7283
0.72,4.14,0.615,12.9,864,1.94,8206,0.7722
7.75,4.56,0.504,24.4,132,18.21,73063,0.5223
1.56,3.37,0.842,12.5,357,1.07,17428,0.5335
0.9,4.18,0.959,66.5,1453,3.68,7458,0.8543
0.2,3.91,0.828,75.7,1303,1.59,2691,0.7516
0.2,4.79,0.683,28.3,1904,1.0,1801,0.838
1.82,3.87,0.908,34.4,725,2.85,22232,0.6591
2.48,3.96,0.55,78.7,1941,4.78,31120,0.5121
0.72,4.55,0.991,48.1,929,2.81,7698,0.8237
0.99,3.28,0.722,32.1,458,4.75,10113,0.496
8.06,3.88,0.906,77.9,326,20.55,101342,0.6297
